link,base_link,id_votacion,tema,region
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=38602,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,38602,ACUICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=31717,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,31717,ACUICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=31555,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,31555,ACUICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29564,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29564,ACUICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=29559,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,29559,ACUICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=37069,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,37069,AREAS SILVESTRES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40239,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40239,AREAS SILVESTRES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40238,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40238,AREAS SILVESTRES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40237,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40237,AREAS SILVESTRES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23051,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23051,COMPETENCIAS GOBIERNOS REGIONALES,1
