nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos,fecha_eleccion
HELIA MOLINA MILMAN,PPD,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Helia_Molina_Milman,Helia Águeda,Molina,Milman,Magíster en Salud Pública,2 de Abril de 1947,Santiago,,,0,5,21 de noviembre de 2021
GIORGIO JACKSON DRAGO,RD,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Kenneth_Giorgio_Jackson_Drago,Kenneth Giorgio,Jackson,Drago,Ingeniero Civil Industrial,06 de Febrero de 1987,Viña del Mar,,,0,0,19 de noviembre de 2017
GONZALO WINTER ETCHEBERRY,CS,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Rodolfo_Winter_Etcheberry,Gonzalo Rodolfo,Winter,Etcheberry,Abogado,6 de Enero de 1987,Santiago,,,0,0,21 de noviembre de 2021
ALEJANDRA PLACENCIA CABELLO,PC,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandra_Placencia_Cabello,Alejandra Francisca,Placencia,Cabello,Profesora de Filosofía,14 de Febrero de 1978,Santiago,,,0,una,21 de noviembre de 2021
JOHANNES KAISER BARENTS-VON HOHENHAGEN,REPUBLICANO,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Johannes_Kaiser_Barents-von_Hohenhagen,Johannes Maximilian,Kaiser,Barents-von Hohenhagen,,5 de Enero de 1976,Santiago,,,1,0,21 de noviembre de 2021
JORGE ALESSANDRI VERGARA,UDI,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Iván_Alessandri_Vergara,Jorge Iván,Alessandri,Vergara,Abogado,8 de Junio de 1979,Santiago de Chile,,Católico,1,tres,21 de noviembre de 2021
KARIN LUCK URBAN,RN,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karin_Claudia_Luck_Urban,Karin Claudia,Luck,Urban,Relacionadora Pública,19 de Julio de 1971,Viña del Mar,,,0,0,19 de noviembre de 2017
TOMAS HIRSCH GOLDSCHMIDT,PH,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tomás_René_Hirsch_Goldschmidt,Tomás René,Hirsch,Goldschmidt,,19 de Julio de 1956,Santiago,,,1,dos,19 de noviembre de 2017
GONZALO FUENZALIDA FIGUEROA,RN,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Guillermo_Fuenzalida_Figueroa,Gonzalo Guillermo,Fuenzalida,Figueroa,Abogado,18 de Junio de 1973,Santiago,,,1,0,19 de noviembre de 2017
GUILLERMO RAMIREZ DIEZ,UDI,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Andrés_Ramírez_Diez,Guillermo Andrés,Ramírez,Diez,Máster en Políticas Públicas,16 de Abril de 1979,Santiago,,,1,4,19 de noviembre de 2017
