deputyid,distrito,partido,pacto,tendencia,nombre,year,region
945,17,UDI,CHILE VAMOS,1,CELSO MORALES MUÑOZ,2019,7
1064,17,RN,CHILE VAMOS,1,PABLO PRIETO LORCA,2019,7
923,17,UDI,CHILE VAMOS,1,PEDRO PABLO ALVAREZ-SALAMANCA RAMIREZ,2019,7
1076,17,PRSD,NUEVA MAYORIA,0,ALEXIS SEPULVEDA SOTO,2019,7
1008,17,PH,PH,0,FLORCITA ALARCON ROJAS,2019,7
862,17,PDC,PDC,0,PABLO LORENZINI BASSO,2019,7
1064,17,RN,CHILE VAMOS,1,PABLO PRIETO LORCA,2020,7
862,17,PDC,PDC,0,PABLO LORENZINI BASSO,2020,7
945,17,UDI,CHILE VAMOS,1,CELSO MORALES MUÑOZ,2020,7
1076,17,PRSD,NUEVA MAYORIA,0,ALEXIS SEPULVEDA SOTO,2020,7
923,17,UDI,CHILE VAMOS,1,PEDRO PABLO ALVAREZ-SALAMANCA RAMIREZ,2020,7
1008,17,PH,PH,0,FLORCITA ALARCON ROJAS,2020,7
1067,17,RN,CHILE VAMOS,1,HUGO REY MARTINEZ,2020,7
1064,17,RN,CHILE VAMOS,1,PABLO PRIETO LORCA,2021,7
862,17,PDC,PDC,0,PABLO LORENZINI BASSO,2021,7
923,17,UDI,CHILE VAMOS,1,PEDRO PABLO ALVAREZ-SALAMANCA RAMIREZ,2021,7
1067,17,RN,CHILE VAMOS,1,HUGO REY MARTINEZ,2021,7
1008,17,PH,PH,0,FLORCITA ALARCON ROJAS,2021,7
945,17,UDI,CHILE VAMOS,1,CELSO MORALES MUÑOZ,2021,7
1076,17,PRSD,NUEVA MAYORIA,0,ALEXIS SEPULVEDA SOTO,2021,7
1076,17,PRSD,NUEVA MAYORIA,0,Alexis Sepúlveda Soto,2022,7
1126,17,UDI,CHILE VAMOS,1,Felipe Donoso Castro,2022,7
1150,17,REPUBLICANO,FRENTE SOCIAL CRISTIANO,1,Benjamín Moreno Bascur,2022,7
1115,17,IND,FRENTE AMPLIO,0,Mercedes Bulnes Núñez,2022,7
1132,17,EVOPOLI,CHILE VAMOS,1,Jorge Guzmán Zepeda,2022,7
1067,17,RN,CHILE VAMOS,1,Hugo Rey Martínez,2022,7
1161,17,IND,SIN PACTO,0,Francisco Pulgar Castillo,2022,7
1076,17,PRSD,NUEVA MAYORIA,0,Alexis Sepúlveda Soto,2023,7
1115,17,IND,FRENTE AMPLIO,0,Mercedes Bulnes Núñez,2023,7
1126,17,UDI,CHILE VAMOS,1,Felipe Donoso Castro,2023,7
1150,17,REPUBLICANO,FRENTE SOCIAL CRISTIANO,1,Benjamín Moreno Bascur,2023,7
1067,17,RN,CHILE VAMOS,1,Hugo Rey Martínez,2023,7
1132,17,EVOPOLI,CHILE VAMOS,1,Jorge Guzmán Zepeda,2023,7
1161,17,IND,SIN PACTO,0,Francisco Pulgar Castillo,2023,7
1076,17,PRSD,NUEVA MAYORIA,0,Alexis Sepúlveda Soto,2024,7
1150,17,REPUBLICANO,FRENTE SOCIAL CRISTIANO,1,Benjamín Moreno Bascur,2024,7
1126,17,UDI,CHILE VAMOS,1,Felipe Donoso Castro,2024,7
1161,17,IND,SIN PACTO,0,Francisco Pulgar Castillo,2024,7
1132,17,EVOPOLI,CHILE VAMOS,1,Jorge Guzmán Zepeda,2024,7
1067,17,RN,CHILE VAMOS,1,Hugo Rey Martínez,2024,7
1115,17,IND,FRENTE AMPLIO,0,Mercedes Bulnes Núñez,2024,7
868,18,RN,CHILE VAMOS,1,NICOLAS MONCKEBERG DIAZ,2014,13
936,18,PPD,NUEVA MAYORIA,0,CRISTINA GIRARDI LAVIN,2014,13
936,18,PPD,NUEVA MAYORIA,0,CRISTINA GIRARDI LAVIN,2015,13
868,18,RN,CHILE VAMOS,1,NICOLAS MONCKEBERG DIAZ,2015,13
868,18,RN,CHILE VAMOS,1,NICOLAS MONCKEBERG DIAZ,2016,13
936,18,PPD,NUEVA MAYORIA,0,CRISTINA GIRARDI LAVIN,2016,13
868,18,RN,CHILE VAMOS,1,NICOLAS MONCKEBERG DIAZ,2017,13
936,18,PPD,NUEVA MAYORIA,0,CRISTINA GIRARDI LAVIN,2017,13
1066,18,UDI,CHILE VAMOS,1,ROLANDO RENTERIA MOLLER,2018,7
74,18,PS,NUEVA MAYORIA,0,JAIME NARANJO ORTIZ,2018,7
660,18,PDC,PDC,0,MANUEL JOSE MATTA ARAGAY,2018,7
908,18,UDI,CHILE VAMOS,1,IGNACIO URRUTIA BONILLA,2018,7
908,18,UDI,CHILE VAMOS,1,IGNACIO URRUTIA BONILLA,2019,7
660,18,PDC,PDC,0,MANUEL JOSE MATTA ARAGAY,2019,7
74,18,PS,NUEVA MAYORIA,0,JAIME NARANJO ORTIZ,2019,7
1066,18,UDI,CHILE VAMOS,1,ROLANDO RENTERIA MOLLER,2019,7
1066,18,UDI,CHILE VAMOS,1,ROLANDO RENTERIA MOLLER,2020,7
908,18,UDI,CHILE VAMOS,1,IGNACIO URRUTIA BONILLA,2020,7
74,18,PS,NUEVA MAYORIA,0,JAIME NARANJO ORTIZ,2020,7
660,18,PDC,PDC,0,MANUEL JOSE MATTA ARAGAY,2020,7
74,18,PS,NUEVA MAYORIA,0,JAIME NARANJO ORTIZ,2021,7
908,18,UDI,CHILE VAMOS,1,IGNACIO URRUTIA BONILLA,2021,7
1066,18,UDI,CHILE VAMOS,1,ROLANDO RENTERIA MOLLER,2021,7
660,18,PDC,PDC,0,MANUEL JOSE MATTA ARAGAY,2021,7
1180,18,IND,FRENTE AMPLIO,0,Consuelo Veloso Ávila,2022,7
1136,18,IND,CHILE VAMOS,1,Paula Labra Besserer,2022,7
1109,18,UDI,CHILE VAMOS,1,Gustavo Benavente Vergara,2022,7
74,18,PS,NUEVA MAYORIA,0,Jaime Naranjo Ortiz,2022,7
1136,18,IND,CHILE VAMOS,1,Paula Labra Besserer,2023,7
1180,18,IND,FRENTE AMPLIO,0,Consuelo Veloso Ávila,2023,7
74,18,PS,NUEVA MAYORIA,0,Jaime Naranjo Ortiz,2023,7
1109,18,UDI,CHILE VAMOS,1,Gustavo Benavente Vergara,2023,7
1109,18,UDI,CHILE VAMOS,1,Gustavo Benavente Vergara,2024,7
74,18,PS,NUEVA MAYORIA,0,Jaime Naranjo Ortiz,2024,7
1136,18,IND,CHILE VAMOS,1,Paula Labra Besserer,2024,7
1180,18,IND,FRENTE AMPLIO,0,Consuelo Veloso Ávila,2024,7
973,19,PC,NUEVA MAYORIA,0,KAROL AIDA CARIOLA OLIVA,2014,13
874,19,UDI,CHILE VAMOS,1,CLAUDIA ANDREA NOGUEIRA FERNANDEZ,2014,13
973,19,PC,NUEVA MAYORIA,0,KAROL AIDA CARIOLA OLIVA,2015,13
874,19,UDI,CHILE VAMOS,1,CLAUDIA ANDREA NOGUEIRA FERNANDEZ,2015,13
973,19,PC,NUEVA MAYORIA,0,KAROL AIDA CARIOLA OLIVA,2016,13
874,19,UDI,CHILE VAMOS,1,CLAUDIA ANDREA NOGUEIRA FERNANDEZ,2016,13
874,19,UDI,CHILE VAMOS,1,CLAUDIA ANDREA NOGUEIRA FERNANDEZ,2017,13
973,19,PC,NUEVA MAYORIA,0,KAROL AIDA CARIOLA OLIVA,2017,13
974,19,PPD,NUEVA MAYORIA,0,MARIA LORETO CARVAJAL AMBIADO,2018,16
893,19,PDC,PDC,0,JORGE EDUARDO SABAG VILLALOBOS,2018,16
953,19,RN,CHILE VAMOS,1,FRANK SAUERBAUM MUÑOZ,2018,16
855,19,PRSD,NUEVA MAYORIA,0,CARLOS ABEL JARPA WEVAR,2018,16
1072,19,UDI,CHILE VAMOS,1,GUSTAVO SANHUEZA DUEÑAS,2018,16
974,19,PPD,NUEVA MAYORIA,0,MARIA LORETO CARVAJAL AMBIADO,2019,16
893,19,PDC,PDC,0,JORGE EDUARDO SABAG VILLALOBOS,2019,16
1072,19,UDI,CHILE VAMOS,1,GUSTAVO SANHUEZA DUEÑAS,2019,16
953,19,RN,CHILE VAMOS,1,FRANK SAUERBAUM MUÑOZ,2019,16
855,19,PRSD,NUEVA MAYORIA,0,CARLOS ABEL JARPA WEVAR,2019,16
855,19,PRSD,NUEVA MAYORIA,0,CARLOS ABEL JARPA WEVAR,2020,16
1072,19,UDI,CHILE VAMOS,1,GUSTAVO SANHUEZA DUEÑAS,2020,16
893,19,PDC,PDC,0,JORGE EDUARDO SABAG VILLALOBOS,2020,16
953,19,RN,CHILE VAMOS,1,FRANK SAUERBAUM MUÑOZ,2020,16
974,19,PPD,NUEVA MAYORIA,0,MARIA LORETO CARVAJAL AMBIADO,2020,16
855,19,PRSD,NUEVA MAYORIA,0,CARLOS ABEL JARPA WEVAR,2021,16
974,19,PPD,NUEVA MAYORIA,0,MARIA LORETO CARVAJAL AMBIADO,2021,16
1072,19,UDI,CHILE VAMOS,1,GUSTAVO SANHUEZA DUEÑAS,2021,16
953,19,RN,CHILE VAMOS,1,FRANK SAUERBAUM MUÑOZ,2021,16
893,19,PDC,PDC,0,JORGE EDUARDO SABAG VILLALOBOS,2021,16
1113,19,UDI,CHILE VAMOS,1,Marta Bravo Salinas,2022,16
1119,19,PSC,FRENTE SOCIAL CRISTIANO,1,Sara Concha Smith,2022,16
953,19,RN,CHILE VAMOS,1,Frank Sauerbaum Muñoz,2022,16
1143,19,UDI,CHILE VAMOS,1,Cristóbal Martínez Ramírez,2022,16
1116,19,IND,SIN PACTO,0,Felipe Camaño Cárdenas,2022,16
1116,19,IND,SIN PACTO,0,Felipe Camaño Cárdenas,2023,16
