deputyid,distrito,partido,pacto,tendencia,nombre,year,region
913,22,PDC,PDC,0,MARIO ARTIDORO VENEGAS CARDENAS,2020,9
1061,22,PPD,NUEVA MAYORIA,0,ANDREA PARRA SAUTEREL,2021,9
913,22,PDC,PDC,0,MARIO ARTIDORO VENEGAS CARDENAS,2021,9
995,22,RN,CHILE VAMOS,1,DIEGO PAULSEN KEHR,2021,9
999,22,RN,CHILE VAMOS,1,JORGE RATHGEB SCHIFFERLI,2021,9
1152,22,IND,FRENTE SOCIAL CRISTIANO,1,Gloria Naveillan Arriagada,2022,9
1168,22,DEMOCRATAS,CHILE VAMOS,1,Jorge Saffirio Espinoza,2022,9
999,22,RN,CHILE VAMOS,1,Jorge Rathgeb Schifferli,2022,9
1108,22,RN,CHILE VAMOS,1,Juan Carlos Beltrán Silva,2022,9
1168,22,DEMOCRATAS,CHILE VAMOS,1,Jorge Saffirio Espinoza,2023,9
1108,22,RN,CHILE VAMOS,1,Juan Carlos Beltrán Silva,2023,9
1152,22,IND,FRENTE SOCIAL CRISTIANO,1,Gloria Naveillan Arriagada,2023,9
