nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos
EUGENIO TUMA ZEDAN,PPD,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Tuma_Zedan,Eugenio,Tuma,Zedan,"Ingeniero comercial, Contador auditor",29 de Julio de 1945,Temuco,,,1,cuatro
JOSE GARCIA RUMINOT,RN,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gilberto_García_Ruminot,José,García,Ruminot,Contador Público y Auditor,22 de Mayo de 1955,Temuco,,,1,dos
PATRICIO WALKER PRIETO,PDC,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Walker_Prieto,Patricio,Walker,Prieto,Abogado,28 de Abril de 1969,Santiago,,,1,cuatro
ANTONIO HORVATH KISS,RN,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Horvath_Kiss,Antonio,Horvath,Kiss,Ingeniero Civil,3 de Enero de 1950,Santiago,23 de Mayo de 2018,,1,cinco
ANDRES ZALDIVAR LARRAIN,PDC,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín,José Andrés Rafael,Zaldívar,Larraín,Abogado,18 de Marzo de 1936,Santiago,,,1,cuatro
ISABEL ALLENDE BUSSI,PS,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi,María Isabel,Allende,Bussi,Socióloga,18 de Enero de 1945,Santiago,,,1,dos
JUAN ANTONIO COLOMA CORREA,UDI,senadores,2011,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa,Juan Antonio,Coloma,Correa,Abogado,15 de Julio de 1956,Santiago,,,1,ocho
JORGE PIZARRO SOTO,PDC,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto,Jorge,Pizarro,Soto,,21 de Abril de 1952,Ovalle,,,0,cinco
EVELYN MATTHEI FORNET,UDI,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet,Evelyn,Matthei,Fornet,Licenciada en Ciencias Económicas,11 de Noviembre de 1953,Santiago,,Luterana,1,tres
ANDRES CHADWICK PINERA,UDI,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera,Andrés Pío Bernardino,Chadwick,Piñera,Abogado,2 de Enero de 1956,Santiago,,,1,cuatro
VICTOR PEREZ VARELA,UDI,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Pérez_Varela,Víctor José,Pérez,Varela,Abogado,18 de Octubre de 1954,Santiago,,,1,0
ALEJANDRO NAVARRO BRAIN,PS,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Navarro_Brain,Alejandro,Navarro,Brain,Profesor de Filosofía,20 de Noviembre de 1958,Santiago,,,0,seis
EDUARDO FREI RUIZ-TAGLE,PDC,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Frei_Ruiz-Tagle,Eduardo,Frei,Ruiz-Tagle,Ingeniero Civil Hidráulico,24 de Junio de 1942,Santiago,,,0,0
ANDRES ALLAMAND ZAVALA,RN,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Allamand_Zavala,Andrés,Allamand,Zavala,Abogado,7 de Febrero de 1956,Santiago,,,1,cuatro
CAMILO ESCALONA MEDINA,PS,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camilo_Escalona_Medina,Camilo,Escalona,Medina,,15 de Junio de 1955,Santiago,,,1,una
PEDRO MUNOZ ABURTO,PS,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Héctor_Muñoz_Aburto,Pedro Héctor,Muñoz,Aburto,Abogado,1 de Julio de 1944,Punta Arenas,,,1,dos
CARLOS BIANCHI CHELECH,IND,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Antonio_Karim_Bianchi_Chelech,Carlos Antonio Karim,Bianchi,Chelech,Administrador Público,04 de Noviembre de 1960,Punta Arenas,,,0,dos
GUIDO GIRARDI LAVIN,PPD,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Lavín,Guido,Girardi,Lavín,Médico,24 de Enero de 1961,Santiago,,,1,0
PABLO LONGUEIRA MONTES,UDI,senadores,2012,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Longueira_Montes,Pablo,Longueira,Montes,Ingeniero Civil,12 de Agosto de 1958,Osorno,,,1,siete
